Time,Prediction,Action,Distance_cm,Robot_X_cm,Robot_Y_cm
2026-05-02 13:55:38,Electrical-damage,Maintenance required,1009.47,30.0,30.0
2026-05-02 13:55:40,Electrical-damage,Maintenance required,1009.55,25.0,30.0
2026-05-02 13:55:41,Electrical-damage,Maintenance required,1009.5,20.0,30.0
2026-05-02 13:55:42,Electrical-damage,Maintenance required,1009.52,15.0,30.0
2026-05-02 13:55:43,Electrical-damage,Maintenance required,1009.52,10.0,30.0
2026-05-02 13:55:44,Electrical-damage,Maintenance required,1009.51,5.0,30.0
2026-05-02 13:55:45,Electrical-damage,Maintenance required,1009.51,0.0,30.0
2026-05-02 13:55:45,Electrical-damage,Maintenance required,1009.5,0.0,30.0
2026-05-02 13:55:46,Electrical-damage,Maintenance required,1009.52,0.0,30.0
2026-05-02 13:55:46,Electrical-damage,Maintenance required,147.47,0.0,30.0
2026-05-02 13:55:46,Electrical-damage,Maintenance required,105.06,0.0,30.0
2026-05-02 13:55:47,Electrical-damage,Maintenance required,213.54,0.0,30.0
2026-05-02 13:55:47,Electrical-damage,Maintenance required,1008.16,0.0,30.0
2026-05-02 13:55:47,Electrical-damage,Maintenance required,1008.78,0.0,30.0
2026-05-02 13:55:47,Electrical-damage,Maintenance required,1009.45,0.0,30.0
2026-05-02 13:55:48,Electrical-damage,Maintenance required,1009.36,0.0,30.0
2026-05-02 13:55:48,Electrical-damage,Maintenance required,1009.48,0.0,30.0
2026-05-02 13:55:48,Electrical-damage,Maintenance required,1009.44,0.0,30.0
2026-05-02 13:55:49,Electrical-damage,Maintenance required,1009.45,0.0,30.0
2026-05-02 13:55:49,Electrical-damage,Maintenance required,1009.41,0.0,30.0
2026-05-02 13:55:49,Electrical-damage,Maintenance required,1009.41,0.0,30.0
2026-05-02 13:55:50,Electrical-damage,Maintenance required,1009.5,0.0,30.0
2026-05-02 13:55:50,Electrical-damage,Maintenance required,1009.46,0.0,30.0
2026-05-02 13:55:50,Electrical-damage,Maintenance required,1009.5,0.0,30.0
2026-05-02 13:55:51,Electrical-damage,Maintenance required,1009.4,0.0,30.0
2026-05-02 13:55:51,Electrical-damage,Maintenance required,1009.46,0.0,30.0
2026-05-02 13:55:51,Electrical-damage,Maintenance required,1009.45,0.0,30.0
2026-05-02 13:55:51,Electrical-damage,Maintenance required,1009.57,0.0,30.0
2026-05-02 13:55:52,Electrical-damage,Maintenance required,1009.5,0.0,30.0
2026-05-02 13:55:52,Electrical-damage,Maintenance required,1009.5,0.0,30.0
2026-05-02 13:55:52,Electrical-damage,Maintenance required,1009.54,0.0,30.0
2026-05-02 13:55:53,Electrical-damage,Maintenance required,1009.45,0.0,30.0
2026-05-02 13:55:53,Electrical-damage,Maintenance required,1009.49,0.0,30.0
2026-05-02 13:55:53,Electrical-damage,Maintenance required,1009.47,0.0,30.0
2026-05-02 13:55:54,Electrical-damage,Maintenance required,1012.54,0.0,30.0
2026-05-02 13:55:54,Electrical-damage,Maintenance required,1009.55,0.0,30.0
2026-05-02 13:55:54,Electrical-damage,Maintenance required,1009.53,0.0,30.0
2026-05-02 13:55:55,Electrical-damage,Maintenance required,1009.47,0.0,30.0
2026-05-02 13:55:55,Electrical-damage,Maintenance required,1009.46,0.0,30.0
2026-05-02 13:55:55,Electrical-damage,Maintenance required,1009.18,0.0,30.0
2026-05-02 13:55:55,Electrical-damage,Maintenance required,1009.47,0.0,30.0
2026-05-02 13:55:56,Electrical-damage,Maintenance required,1009.45,0.0,30.0
2026-05-02 13:55:56,Electrical-damage,Maintenance required,1009.58,0.0,30.0
2026-05-02 13:55:56,Electrical-damage,Maintenance required,1009.58,0.0,30.0
2026-05-02 13:55:57,Electrical-damage,Maintenance required,1009.5,0.0,30.0
2026-05-02 13:55:57,Electrical-damage,Maintenance required,1009.51,0.0,30.0
2026-05-02 13:55:57,Electrical-damage,Maintenance required,1009.56,0.0,30.0
2026-05-02 13:55:58,Electrical-damage,Maintenance required,1009.5,0.0,30.0
2026-05-02 13:55:58,Electrical-damage,Maintenance required,1009.52,0.0,30.0
2026-05-02 13:55:58,Electrical-damage,Maintenance required,1009.47,0.0,30.0
2026-05-02 13:55:59,Electrical-damage,Maintenance required,1009.51,0.0,30.0
2026-05-02 13:55:59,Electrical-damage,Maintenance required,1009.49,0.0,30.0
2026-05-02 13:55:59,Electrical-damage,Maintenance required,1009.45,0.0,30.0
2026-05-02 13:55:59,Electrical-damage,Maintenance required,1009.45,0.0,30.0
2026-05-02 13:56:00,Electrical-damage,Maintenance required,1009.44,0.0,30.0
2026-05-02 13:56:00,Bird-drop,Bird dropping dry and wet cleaning required,1009.54,0.0,30.0
2026-05-02 13:56:01,Bird-drop,Bird dropping dry and wet cleaning required,203.97,0.0,35.0
2026-05-02 13:56:02,Bird-drop,Bird dropping dry and wet cleaning required,405.82,0.0,40.0
2026-05-02 13:56:03,Bird-drop,Bird dropping dry and wet cleaning required,274.45,0.0,45.0
2026-05-02 13:56:04,Bird-drop,Bird dropping dry and wet cleaning required,1009.5,0.0,50.0
2026-05-02 13:56:05,Electrical-damage,Maintenance required,563.02,0.0,55.0
2026-05-02 13:56:05,Electrical-damage,Maintenance required,1009.49,0.0,55.0
2026-05-02 13:56:06,Electrical-damage,Maintenance required,1009.42,0.0,55.0
2026-05-02 13:56:06,Electrical-damage,Maintenance required,1009.41,0.0,55.0
2026-05-02 13:56:06,Electrical-damage,Maintenance required,1009.43,0.0,55.0
2026-05-02 13:56:06,Electrical-damage,Maintenance required,1009.41,0.0,55.0
2026-05-02 13:56:07,Electrical-damage,Maintenance required,1009.47,0.0,55.0
2026-05-02 13:56:07,Electrical-damage,Maintenance required,1009.44,0.0,55.0
2026-05-02 13:56:07,Electrical-damage,Maintenance required,1009.4,0.0,55.0
2026-05-02 13:56:08,Electrical-damage,Maintenance required,1009.48,0.0,55.0
2026-05-02 13:56:08,Electrical-damage,Maintenance required,1009.53,0.0,55.0
2026-05-02 13:56:08,Electrical-damage,Maintenance required,1009.54,0.0,55.0
2026-05-02 13:56:09,Electrical-damage,Maintenance required,1009.38,0.0,55.0
2026-05-02 13:56:09,Electrical-damage,Maintenance required,1009.43,0.0,55.0
2026-05-02 13:56:09,Electrical-damage,Maintenance required,1009.47,0.0,55.0
2026-05-02 13:56:10,Electrical-damage,Maintenance required,1009.55,0.0,55.0
2026-05-02 13:56:10,Electrical-damage,Maintenance required,1009.46,0.0,55.0
2026-05-02 13:56:10,Electrical-damage,Maintenance required,1009.5,0.0,55.0
2026-05-02 13:56:10,Electrical-damage,Maintenance required,1009.49,0.0,55.0
2026-05-02 13:56:11,Electrical-damage,Maintenance required,1009.53,0.0,55.0
2026-05-02 13:56:11,Electrical-damage,Maintenance required,1009.5,0.0,55.0
2026-05-02 13:56:11,Electrical-damage,Maintenance required,1009.51,0.0,55.0
2026-05-02 13:56:12,Electrical-damage,Maintenance required,1009.49,0.0,55.0
2026-05-02 13:56:12,Bird-drop,Bird dropping dry and wet cleaning required,1009.23,0.0,55.0
2026-05-02 13:56:13,Bird-drop,Bird dropping dry and wet cleaning required,335.39,0.0,60.0
2026-05-02 13:56:13,Electrical-damage,Maintenance required,1009.47,0.0,60.0
2026-05-02 13:56:14,Electrical-damage,Maintenance required,1009.44,0.0,60.0
2026-05-02 13:56:14,Electrical-damage,Maintenance required,1009.64,0.0,60.0
2026-05-02 13:56:14,Electrical-damage,Maintenance required,1009.53,0.0,60.0
2026-05-02 13:56:14,Electrical-damage,Maintenance required,1009.56,0.0,60.0
2026-05-02 13:56:15,Electrical-damage,Maintenance required,1009.5,0.0,60.0
2026-05-02 13:56:15,Electrical-damage,Maintenance required,1009.51,0.0,60.0
2026-05-02 13:56:15,Electrical-damage,Maintenance required,1009.54,0.0,60.0
2026-05-02 13:56:16,Electrical-damage,Maintenance required,1009.45,0.0,60.0
2026-05-02 13:56:16,Electrical-damage,Maintenance required,1009.45,0.0,60.0
2026-05-02 13:56:16,Electrical-damage,Maintenance required,1009.41,0.0,60.0
2026-05-02 13:56:17,Electrical-damage,Maintenance required,1009.5,0.0,60.0
2026-05-02 13:56:17,Electrical-damage,Maintenance required,1009.51,0.0,60.0
2026-05-02 13:56:17,Electrical-damage,Maintenance required,1009.47,0.0,60.0
2026-05-02 13:56:17,Electrical-damage,Maintenance required,1009.47,0.0,60.0
2026-05-02 13:56:18,Electrical-damage,Maintenance required,1009.37,0.0,60.0
2026-05-02 13:56:18,Electrical-damage,Maintenance required,1009.4,0.0,60.0
2026-05-02 13:56:18,Electrical-damage,Maintenance required,1009.46,0.0,60.0
2026-05-02 13:56:19,Electrical-damage,Maintenance required,1009.4,0.0,60.0
2026-05-02 13:56:19,Electrical-damage,Maintenance required,1009.36,0.0,60.0
2026-05-02 13:56:19,Electrical-damage,Maintenance required,1009.37,0.0,60.0
2026-05-02 13:56:20,Electrical-damage,Maintenance required,1009.43,0.0,60.0
2026-05-02 13:56:20,Electrical-damage,Maintenance required,1009.36,0.0,60.0
2026-05-02 13:56:20,Electrical-damage,Maintenance required,1009.43,0.0,60.0
2026-05-02 13:56:21,Electrical-damage,Maintenance required,1009.33,0.0,60.0
2026-05-02 13:56:21,Electrical-damage,Maintenance required,1009.36,0.0,60.0
2026-05-02 13:56:21,Electrical-damage,Maintenance required,1009.37,0.0,60.0
2026-05-02 13:56:21,Electrical-damage,Maintenance required,1009.35,0.0,60.0
2026-05-02 13:56:22,Electrical-damage,Maintenance required,1009.35,0.0,60.0
2026-05-02 13:56:22,Electrical-damage,Maintenance required,1009.43,0.0,60.0
2026-05-02 13:56:22,Electrical-damage,Maintenance required,1009.3,0.0,60.0
2026-05-02 13:56:23,Electrical-damage,Maintenance required,1009.38,0.0,60.0
2026-05-02 13:56:23,Electrical-damage,Maintenance required,1009.33,0.0,60.0
2026-05-02 13:56:23,Electrical-damage,Maintenance required,1009.42,0.0,60.0
2026-05-02 13:56:24,Electrical-damage,Maintenance required,1009.34,0.0,60.0
2026-05-02 13:56:24,Electrical-damage,Maintenance required,1009.37,0.0,60.0
2026-05-02 13:56:24,Electrical-damage,Maintenance required,1009.44,0.0,60.0
2026-05-02 13:56:25,Electrical-damage,Maintenance required,1009.41,0.0,60.0
2026-05-02 13:56:25,Electrical-damage,Maintenance required,1009.34,0.0,60.0
2026-05-02 13:56:25,Electrical-damage,Maintenance required,1009.38,0.0,60.0
2026-05-02 13:56:25,Electrical-damage,Maintenance required,1009.39,0.0,60.0
2026-05-02 13:56:26,Electrical-damage,Maintenance required,1009.39,0.0,60.0
2026-05-02 13:56:26,Electrical-damage,Maintenance required,1009.39,0.0,60.0
2026-05-02 13:56:26,Electrical-damage,Maintenance required,1009.28,0.0,60.0
2026-05-02 13:56:27,Electrical-damage,Maintenance required,1009.38,0.0,60.0
2026-05-02 13:56:27,Electrical-damage,Maintenance required,1009.44,0.0,60.0
2026-05-02 13:56:27,Electrical-damage,Maintenance required,459.12,0.0,60.0
2026-05-02 13:56:28,Electrical-damage,Maintenance required,1009.39,0.0,60.0
2026-05-02 13:56:28,Electrical-damage,Maintenance required,695.83,0.0,60.0
2026-05-02 13:56:28,Electrical-damage,Maintenance required,678.41,0.0,60.0
2026-05-02 13:56:28,Electrical-damage,Maintenance required,1009.39,0.0,60.0
2026-05-02 13:56:29,Electrical-damage,Maintenance required,1009.41,0.0,60.0
2026-05-02 13:56:29,Electrical-damage,Maintenance required,1009.42,0.0,60.0
2026-05-02 13:56:29,Electrical-damage,Maintenance required,1009.41,0.0,60.0
2026-05-02 13:56:30,Electrical-damage,Maintenance required,1009.41,0.0,60.0
2026-05-02 13:56:30,Electrical-damage,Maintenance required,1009.39,0.0,60.0
2026-05-02 13:56:30,Electrical-damage,Maintenance required,1009.42,0.0,60.0
2026-05-02 13:56:31,Electrical-damage,Maintenance required,1009.47,0.0,60.0
2026-05-02 13:56:31,Electrical-damage,Maintenance required,1009.44,0.0,60.0
2026-05-02 13:56:31,Electrical-damage,Maintenance required,1009.5,0.0,60.0
2026-05-02 13:56:31,Electrical-damage,Maintenance required,1009.46,0.0,60.0
2026-05-02 13:56:32,Electrical-damage,Maintenance required,439.31,0.0,60.0
2026-05-02 13:56:32,Electrical-damage,Maintenance required,297.72,0.0,60.0
2026-05-02 13:56:32,Electrical-damage,Maintenance required,1009.36,0.0,60.0
2026-05-02 13:56:33,Electrical-damage,Maintenance required,1009.39,0.0,60.0
2026-05-02 13:56:33,Electrical-damage,Maintenance required,364.29,0.0,60.0
2026-05-02 13:56:33,Electrical-damage,Maintenance required,187.1,0.0,60.0
2026-05-02 13:56:33,Electrical-damage,Maintenance required,302.56,0.0,60.0
2026-05-02 13:56:34,Electrical-damage,Maintenance required,1009.39,0.0,60.0
2026-05-02 13:56:34,Electrical-damage,Maintenance required,1009.42,0.0,60.0
2026-05-02 13:56:34,Electrical-damage,Maintenance required,1009.35,0.0,60.0
2026-05-02 13:56:35,Electrical-damage,Maintenance required,1009.37,0.0,60.0
2026-05-02 13:56:35,Electrical-damage,Maintenance required,263.89,0.0,60.0
2026-05-02 13:56:35,Electrical-damage,Maintenance required,1009.4,0.0,60.0
2026-05-02 13:56:36,Electrical-damage,Maintenance required,1009.35,0.0,60.0
2026-05-02 13:56:36,Electrical-damage,Maintenance required,971.44,0.0,60.0
2026-05-02 13:56:36,Electrical-damage,Maintenance required,405.51,0.0,60.0
2026-05-02 13:56:36,Electrical-damage,Maintenance required,1009.46,0.0,60.0
